;x_3857;y_3857
0;735754.730754488;5864548.633479258
1;734344.4909173227;5864378.629890279
2;734776.6331805822;5863869.124172586
3;734858.3639507225;5863790.745031976
4;734819.7360874172;5863823.002533805
5;734979.2346538259;5863722.089038022
6;734986.8823028434;5863741.744268971
7;735005.4169980605;5863715.035813597
8;735187.3909696601;5863644.87595126
9;735345.0082366745;5863578.1299660755
10;735323.3343318171;5863580.750618074
11;735941.9812699516;5863564.28258328
12;735941.213165465;5863562.939905968
13;736050.7292805073;5863600.518771315
14;736079.2048062524;5863608.963118738
15;736005.9120535142;5863586.897829542
16;736129.6993272762;5863617.601597486
17;736142.6457840555;5863618.183967142
18;736114.5376126303;5863615.417711607
19;736189.0882756144;5863613.120587787
20;736212.0089587688;5863606.310104497
21;736164.8317585707;5863617.197174132
22;736351.7483155617;5863578.696156254
23;736472.4409074797;5863569.297403969
24;736462.6670561881;5863569.750355656
25;736303.0571702886;5863582.93449534
26;736530.8502442989;5863632.743221159
27;736602.5399963697;5863740.708930605
28;736575.7565268849;5863764.036427717
29;736519.0392463257;5863840.684354092
30;736694.6568750012;5863777.414985543
31;736519.8073508122;5863833.58250251
32;736724.2789915011;5863916.362299711
33;736300.2741830188;5864282.094295017
34;736371.8192197515;5864254.850320191
35;736391.2110750477;5864266.676524546
36;736392.5691728354;5864249.090915899
37;736873.5027689096;5864235.129229583
38;736660.4261315822;5864227.266690616
39;737254.8833443676;5864053.564614537
40;737220.1293993418;5864079.61080934
41;737383.924898095;5863974.455837678
42;737387.988059509;5863971.721825191
43;737217.4132037665;5864124.504276568
44;737216.656231229;5864148.382841199
45;737285.1733778123;5864266.56327764
46;737445.4734445545;5864272.257980826
47;737057.3246440565;5864263.311474355
48;737006.7744632874;5864253.653140336
49;736969.961107682;5864017.84424431
50;736916.8171827772;5863998.431060506
51;738092.3955333505;5863636.819816606
52;738086.3954127969;5863639.294893335
53;738360.2302281993;5863995.939705021
54;738196.2343543625;5864600.502377747
55;738216.9620435481;5864592.380652283
56;737730.6294521707;5865215.089613644
57;737749.8320643324;5865206.384845312
58;737870.8029549774;5865137.895769971
59;737879.3522918705;5865131.472418442
60;737812.7498405288;5865172.973500449
61;737964.9681122395;5865052.402478237
62;737958.2332830465;5865059.7318289075
63;738094.0096659671;5864896.9666726915
64;738637.2376490893;5863901.656978815
65;738737.9817882571;5863844.453676282
66;738946.3607430729;5863724.030293441
67;739531.7231534603;5863390.91713804
68;739668.7908424742;5863360.359750004
69;739825.361706275;5863402.434825891
70;739918.7921548977;5863416.120188094
71;740368.4115782116;5863238.24449372
72;740653.9794679437;5863182.938115662
73;740663.1076661887;5863181.902843111
74;733904.5562897077;5864656.788406468
75;736069.5645383496;5863512.840394316
76;736459.3386034133;5863356.445047301
77;736423.7274983085;5863363.497984007
78;736510.2338746039;5863354.7303433595
79;735124.0501793987;5863695.768892238
80;735429.7446330661;5863697.418954379
81;735459.5559927007;5863727.783388474
82;735769.9703927777;5863954.913329251
83;735797.655550138;5863968.000981165
84;736083.8023012221;5864009.545102986
85;736141.4991933004;5864059.097402258
86;736160.4457706334;5864162.004653059
87;736169.7854759109;5864205.539587618
88;736215.0479808674;5864224.807626376
89;735153.7613514916;5865390.934252067
90;735175.7246870251;5865378.766751201
91;735465.2332867312;5865214.5718576675
92;735457.3629987321;5865200.802795807
93;735412.3453966553;5865244.973893206
94;735531.0565016372;5865176.808113239
95;735632.5242174953;5865127.378950015
96;735626.8246595667;5865115.147095249
97;735673.3562067183;5865121.101223484
98;736859.9997146764;5864671.025803418
99;736969.1596073481;5864638.490149484
100;737012.8970352808;5864628.32986055
101;737767.3871480305;5864409.384959058
102;737733.3011199496;5864421.80997265
103;740590.7166013259;5867399.336708276
104;735292.7659996452;5863586.363992586
105;736599.3117311366;5863350.961231157
106;736590.2837204332;5863351.349465817
107;736766.2353075813;5863281.936616647
108;736715.3177724925;5863316.343709683
109;736900.0747313619;5863192.88644405
110;736937.4335524723;5863159.935682402
111;737029.450243562;5863060.825323956
112;736960.1204646959;5863135.186296117
113;737146.3134449967;5862958.99856109
114;737311.0551594218;5862870.016361957
115;737261.3287428842;5862888.116830858
116;737579.6134309602;5862813.612369475
117;737702.7995794723;5863638.550752544
118;737661.4777844897;5863571.384217291
119;737712.9519170327;5863648.855490381
120;737732.0543416528;5863658.367566797
121;737744.3217495383;5863661.13383585
122;737722.9261434077;5863654.840979443
123;736387.8380944766;5864507.070630849
124;736668.7862253407;5864098.4417709205
125;736745.7747851734;5864029.524530559
126;736564.9919321251;5864191.917708291
127;736477.2944372783;5864288.517025848
128;736439.9022203207;5864371.074611049
129;735191.1201726019;5863559.979545873
130;735105.4041646909;5863698.5837043105
131;735029.7959665442;5863672.020973386
132;737582.5077377211;5862232.269563455
