field_1;id_in;x_in;y_in;id_anf;x_anf;y_anf;id_ant;x_ant;y_ant;name_anf_in;oneway_anf_in;lanes_anf_in;highway_anf_in;maxspeed_anf_in;grade_anf_in;name_in_ant;oneway_in_ant;lanes_in_ant;highway_in_ant;maxspeed_in_ant;grade_in_ant;DWV_mean;angle;movement;sas;tag;tad_fr;tad_vim;bc_rouge;preselection;Comment;Signalized_inter
"0";"8318292421";"317451.8408";"5157167.613";"3287579543";"317435.4563";"5157685.362";"575140169";"317506.1166";"5156990.836";Route de Romanel;False;"2";secondary;"80.0";"-0.0305";Route de Romanel;False;"2";secondary;"80.0";"-0.0343";"0.0";"195.255";gauche;;;;;;;;
"1";"8318292421";"317451.8408";"5157167.613";"575140169";"317506.1166";"5156990.836";"3287579543";"317435.4563";"5157685.362";Route de Romanel;False;"2";secondary;"80.0";"0.0343";Route de Romanel;False;"2";secondary;"80.0";"0.0305";"0.0";"164.745";droite;;;;;;;;
"2";"5325765155";"317894.3624";"5153113.502";"3802191742";"317897.7039";"5153110.989";"5325765152";"317890.8104";"5153116.167";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0115";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0018";"7332.0";"180.065";tout_droit;;;;;;;;
"3";"5325765155";"317894.3624";"5153113.502";"5325765152";"317890.8104";"5153116.167";"3802191742";"317897.7039";"5153110.989";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0018";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0115";"7332.0";"179.935";tout_droit;;;;;;;;
"4";"5340591749";"318779.2366";"5154629.863";"5340591748";"318776.2049";"5154626.806";"3476363723";"318786.1077";"5154636.797";Rue Caroline;False;"4";secondary;"50.0";"0.0436";Rue Caroline;False;"4";secondary;"50.0";"0.045";"8164.0";"180.023";tout_droit;;;;;;;;
"5";"5340591749";"318779.2366";"5154629.863";"3476363723";"318786.1077";"5154636.797";"5340591748";"318776.2049";"5154626.806";Rue Caroline;False;"4";secondary;"50.0";"-0.045";Rue Caroline;False;"4";secondary;"50.0";"-0.0436";"8164.0";"179.977";tout_droit;;;;;;;;
"6";"3871143341";"318030.4378";"5154970.729";"1446383295";"318028.3399";"5154975.763";"8832720780";"318011.794";"5154950.126";Rue du Maupas;False;"1";residential;"50.0";"-0.0515";"['Place Chauderon', 'Rue du Maupas']";False;"1";residential;"50.0";"-0.0817";"761.5";"115.234";droite;;;;;;;;
"7";"3871143341";"318030.4378";"5154970.729";"8832720780";"318011.794";"5154950.126";"1446383295";"318028.3399";"5154975.763";"['Place Chauderon', 'Rue du Maupas']";False;"1";residential;"50.0";"0.0817";Rue du Maupas;False;"1";residential;"50.0";"0.0515";"761.5";"244.766";gauche;;;;;;;;
"8";"3301699566";"317298.2762";"5156743.921";"1321789139";"317297.6566";"5156754.149";"3404663233";"317298.363";"5156731.04";Avenue du Grey;False;"2";tertiary;"50.0";"-0.0158";Avenue du Grey;False;"2";tertiary;"50.0";"0.0049";"4226.0";"176.919";tout_droit;;;;;;;;
"9";"3301699566";"317298.2762";"5156743.921";"3404663233";"317298.363";"5156731.04";"1321789139";"317297.6566";"5156754.149";Avenue du Grey;False;"2";tertiary;"50.0";"-0.0049";Avenue du Grey;False;"2";tertiary;"50.0";"0.0158";"4226.0";"183.081";tout_droit;;;;;;;;
"10";"6084864621";"318540.9371";"5155140.292";"764671238";"318529.2813";"5155134.035";"8168160539";"318550.7457";"5155145.358";Rue du Tunnel;False;"3";tertiary;"50.0";"0.0247";Rue du Tunnel;False;"3";tertiary;"50.0";"0.0315";"2024.0";"179.088";tout_droit;;;;;;;;
"11";"6084864621";"318540.9371";"5155140.292";"8168160539";"318550.7457";"5155145.358";"764671238";"318529.2813";"5155134.035";Rue du Tunnel;False;"3";tertiary;"50.0";"-0.0315";Rue du Tunnel;False;"3";tertiary;"50.0";"-0.0247";"2024.0";"180.912";tout_droit;;;;;;;;
"12";"626590121";"319687.0703";"5156680.305";"626590123";"319689.7656";"5156677.79";"626590120";"319684.9672";"5156683.126";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"0.0348";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"0.0439";"2174.0";"169.723";tout_droit;;;;;;;;
"13";"626590121";"319687.0703";"5156680.305";"626590120";"319684.9672";"5156683.126";"626590123";"319689.7656";"5156677.79";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"-0.0439";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"-0.0348";"2174.0";"190.277";tout_droit;;;;;;;;
"14";"4212883639";"320141.7099";"5154869.386";"617682323";"320160.7014";"5154853.119";"617981146";"320134.616";"5154875.813";Avenue de Chailly;False;"2";tertiary;"50.0";"0.0024";Avenue de Chailly;False;"2";tertiary;"50.0";"-0.0075";"2635.0";"178.405";tout_droit;;;;;;;;
"15";"4212883639";"320141.7099";"5154869.386";"617981146";"320134.616";"5154875.813";"617682323";"320160.7014";"5154853.119";Avenue de Chailly;False;"2";tertiary;"50.0";"0.0075";Avenue de Chailly;False;"2";tertiary;"50.0";"-0.0024";"2635.0";"181.595";tout_droit;;;;;;;;
"16";"599447476";"319460.1998";"5156872.862";"630495661";"319514.4371";"5156757.33";"341343243";"319399.5372";"5157002.889";;False;"1";service;"30.0";"-0.0089";;False;"1";service;"30.0";"-0.0005";"0.0";"179.863";tout_droit;;;;;;;;
"17";"599447476";"319460.1998";"5156872.862";"341343243";"319399.5372";"5157002.889";"630495661";"319514.4371";"5156757.33";;False;"1";service;"30.0";"0.0005";;False;"1";service;"30.0";"0.0089";"0.0";"180.137";tout_droit;;;;;;;;
"18";"5527674481";"316977.9699";"5155683.815";"5340503935";"316966.133";"5155696.974";"583529286";"316980.4588";"5155680.581";Route de Prilly;False;"3";primary;"50.0";"0.0326";Route de Prilly;False;"3";primary;"50.0";"0.0278";"3167.0";"175.61";tout_droit;;;;;;;;
"19";"5527674481";"316977.9699";"5155683.815";"583529286";"316980.4588";"5155680.581";"5340503935";"316966.133";"5155696.974";Route de Prilly;False;"3";primary;"50.0";"-0.0278";Route de Prilly;False;"3";primary;"50.0";"-0.0326";"3167.0";"184.39";tout_droit;;;;;;;;
"20";"582912280";"316919.767";"5155752.616";"4395358423";"316950.9821";"5155713.747";"3029565012";"316896.4754";"5155777.598";Route de Prilly;False;"3";primary;"50.0";"-0.0273";Route de Prilly;False;"3";primary;"50.0";"-0.0269";"3167.0";"184.227";tout_droit;;;;;;;;
"21";"582912280";"316919.767";"5155752.616";"3029565012";"316896.4754";"5155777.598";"4395358423";"316950.9821";"5155713.747";Route de Prilly;False;"3";primary;"50.0";"0.0269";Route de Prilly;False;"3";primary;"50.0";"0.0273";"3167.0";"175.773";tout_droit;;;;;;;;
"22";"582627612";"318474.3791";"5156441.57";"9552516058";"318513.0493";"5156449.184";"582627609";"318467.9136";"5156439.662";;False;"1";service;"30.0";"-0.011";;False;"1";service;"30.0";"0.0057";"109.0";"185.303";tout_droit;;;;;;;;
"23";"582627612";"318474.3791";"5156441.57";"582627609";"318467.9136";"5156439.662";"9552516058";"318513.0493";"5156449.184";;False;"1";service;"30.0";"-0.0057";;False;"1";service;"30.0";"0.011";"109.0";"174.697";tout_droit;;;;;;;;
"24";"580046854";"319748.7275";"5155062.484";"3878914693";"319751.7013";"5155073.928";"616222761";"319747.9561";"5155058.748";Avenue de BAAthusy;False;"2";tertiary;"50.0";"0.0047";Avenue de BAAthusy;False;"2";tertiary;"50.0";"0.0082";"5499.0";"182.9";tout_droit;;;;;;;;
"25";"580046854";"319748.7275";"5155062.484";"616222761";"319747.9561";"5155058.748";"3878914693";"319751.7013";"5155073.928";Avenue de BAAthusy;False;"2";tertiary;"50.0";"-0.0082";Avenue de BAAthusy;False;"2";tertiary;"50.0";"-0.0047";"5499.0";"177.1";tout_droit;;;;;;;;
"26";"574495022";"316879.331";"5154292.468";"280588";"316883.4186";"5154280.389";"282645307";"316826.7824";"5154315.922";Chemin de Contigny;False;"1";residential;"50.0";"0.0201";Chemin de Contigny;False;"1";residential;"30.0";"-0.0117";"1345.0";"227.251";gauche;;;;;;;;
"27";"574495022";"316879.331";"5154292.468";"282645307";"316826.7824";"5154315.922";"280588";"316883.4186";"5154280.389";Chemin de Contigny;False;"1";residential;"30.0";"0.0117";Chemin de Contigny;False;"1";residential;"50.0";"-0.0201";"1345.0";"132.749";droite;;;;;;;;
"28";"567940496";"315351.6155";"5155069.181";"704396255";"315335.47";"5155061.332";"312462415";"315364.6196";"5155074.211";Avenue du Chablais;True;"2";primary;"60.0";"0.0322";Avenue du Chablais;True;"2";primary;"60.0";"0.038";"14567.0";"175.22";tout_droit;;;;;;;;
"29";"567940496";"315351.6155";"5155069.181";"9761050968";"315363.5197";"5155071.876";"312462415";"315364.6196";"5155074.211";;False;"1";cycleway;;"-0.0319";Avenue du Chablais;True;"2";primary;"60.0";"0.038";"7283.5";"8.39";droite;;;;;;;;
"30";"567940496";"315351.6155";"5155069.181";"704396255";"315335.47";"5155061.332";"9761050968";"315363.5197";"5155071.876";Avenue du Chablais;True;"2";primary;"60.0";"0.0322";;False;"1";cycleway;;"0.0319";"7283.5";"166.83";tout_droit;;;;;;;;
"31";"567818756";"317523.0372";"5153575.214";"567871335";"317481.1841";"5153511.572";"2258600706";"317548.5123";"5153598.101";Chemin de Bellerive;False;"1";residential;"30.0";"0.1";Chemin de Bellerive;False;"1";residential;"30.0";"0.0995";"8456.9";"165.267";tout_droit;;;;;;;;
"32";"567818756";"317523.0372";"5153575.214";"2258600706";"317548.5123";"5153598.101";"567871335";"317481.1841";"5153511.572";Chemin de Bellerive;False;"1";residential;"30.0";"-0.0995";Chemin de Bellerive;False;"1";residential;"30.0";"-0.1";"8456.9";"194.733";tout_droit;;;;;;;;
"33";"567817434";"317479.788";"5153509.579";"567871335";"317481.1841";"5153511.572";"567871329";"317437.1273";"5153459.418";Chemin de Bellerive;False;"1";residential;"30.0";"-0.0882";Chemin de Bellerive;False;"1";residential;"30.0";"-0.0829";"8456.9";"174.631";tout_droit;;;;;;;;
"34";"567817434";"317479.788";"5153509.579";"567871329";"317437.1273";"5153459.418";"567871335";"317481.1841";"5153511.572";Chemin de Bellerive;False;"1";residential;"30.0";"0.0829";Chemin de Bellerive;False;"1";residential;"30.0";"0.0882";"8456.9";"185.369";tout_droit;;;;;;;;
"35";"567497043";"316547.3569";"5154258.478";"567523745";"316388.2436";"5154266.939";"567497041";"316562.0059";"5154258.235";Avenue des Figuiers;False;"2";tertiary;"50.0";"0.0432";Avenue des Figuiers;False;"2";tertiary;"50.0";"0.0523";"8868.0";"182.094";tout_droit;;;;;;;;
"36";"567497043";"316547.3569";"5154258.478";"567497041";"316562.0059";"5154258.235";"567523745";"316388.2436";"5154266.939";Avenue des Figuiers;False;"2";tertiary;"50.0";"-0.0523";Avenue des Figuiers;False;"2";tertiary;"50.0";"-0.0432";"8868.0";"177.906";tout_droit;;;;;;;;
"37";"3578319815";"317948.5708";"5154820.996";"253421603";"317843.2453";"5154867.105";"1577380107";"318004.9823";"5154799.415";Rue de GenA ve;False;"3";primary;"50.0";"0.0062";Rue de GenA ve;False;"3";primary;"50.0";"-0.0032";"4055.0";"182.708";tout_droit;;;;;;;;
"38";"3578319815";"317948.5708";"5154820.996";"1577380107";"318004.9823";"5154799.415";"253421603";"317843.2453";"5154867.105";Rue de GenA ve;False;"3";primary;"50.0";"0.0032";Rue de GenA ve;False;"3";primary;"50.0";"-0.0062";"4055.0";"177.292";tout_droit;;;;;;;;
"39";"582463771";"319898.5824";"5156616.086";"621771746";"319821.3309";"5156495.909";"582463769";"319889.0655";"5156619.149";Route de Berne;True;"2";primary;"50.0";"0.0642";Chemin de la Fourmi;False;"1";residential;"30.0";"-0.0205";"1258.5";"284.893";gauche;;yes;;;;;;
"40";"582463771";"319898.5824";"5156616.086";"621771746";"319821.3309";"5156495.909";"582982112";"319906.3972";"5156626.996";Route de Berne;True;"2";primary;"50.0";"0.0642";Route de Berne;True;"2";primary;"50.0";"0.0672";"9781.5";"177.12";tout_droit;piste cyclable;;yes;;;;;
"41";"582463771";"319898.5824";"5156616.086";"582463769";"319889.0655";"5156619.149";"582982112";"319906.3972";"5156626.996";Chemin de la Fourmi;False;"1";residential;"30.0";"0.0205";Route de Berne;True;"2";primary;"50.0";"0.0672";"11040.0";"252.227";gauche;;;;;;;;
"42";"5325765154";"317911.5954";"5153105.9";"564464259";"317910.8609";"5153105.989";"5325765153";"317916.6288";"5153105.259";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0239";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0037";"7332.0";"179.651";tout_droit;;;;;;;;
"43";"5325765154";"317911.5954";"5153105.9";"5325765153";"317916.6288";"5153105.259";"564464259";"317910.8609";"5153105.989";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0037";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0239";"7332.0";"180.349";tout_droit;;;;;;;;
"44";"5337071477";"317842.2351";"5154998.055";"6127840404";"317844.7653";"5155004.329";"564116177";"317840.3771";"5154993.451";Avenue de Beaulieu;False;"3";secondary;"50.0";"-0.063";Avenue de Beaulieu;False;"3";secondary;"50.0";"-0.0534";"6324.0";"179.986";tout_droit;;;;;;;;
"45";"5337071477";"317842.2351";"5154998.055";"564116177";"317840.3771";"5154993.451";"6127840404";"317844.7653";"5155004.329";Avenue de Beaulieu;False;"3";secondary;"50.0";"0.0534";Avenue de Beaulieu;False;"3";secondary;"50.0";"0.063";"6324.0";"180.014";tout_droit;;;;;;;;
"46";"626590119";"319684.9287";"5156692.903";"626590118";"319687.4007";"5156697.311";"562948513";"319684.1277";"5156690.747";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"-0.034";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"-0.0215";"2174.0";"188.903";tout_droit;;;;;;;;
"47";"626590119";"319684.9287";"5156692.903";"562948513";"319684.1277";"5156690.747";"626590118";"319687.4007";"5156697.311";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"0.0215";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"0.034";"2174.0";"171.097";tout_droit;;;;;;;;
"48";"561177332";"318461.6827";"5155075.363";"4601224388";"318464.6447";"5155079.934";"765119049";"318454.2566";"5155061.44";Rue du Tunnel;False;"3";tertiary;"50.0";"-0.0353";Rue du Tunnel;False;"3";tertiary;"50.0";"-0.0343";"2024.0";"184.869";tout_droit;;;;;;;;
"49";"561177332";"318461.6827";"5155075.363";"765119049";"318454.2566";"5155061.44";"4601224388";"318464.6447";"5155079.934";Rue du Tunnel;False;"3";tertiary;"50.0";"0.0343";Rue du Tunnel;False;"3";tertiary;"50.0";"0.0353";"2024.0";"175.131";tout_droit;;;;;;;;
"50";"561177082";"318372.0647";"5154899.968";"7895322694";"318366.9571";"5154898.086";"7895322696";"318376.1819";"5154903.125";Place de la Riponne;False;"3";tertiary;"50.0";"-0.0082";Place de la Riponne;False;"3";tertiary;"50.0";"0.0087";"4154.0";"197.253";gauche;;;;;;;;
"51";"561177082";"318372.0647";"5154899.968";"7895322696";"318376.1819";"5154903.125";"7895322694";"318366.9571";"5154898.086";Place de la Riponne;False;"3";tertiary;"50.0";"-0.0087";Place de la Riponne;False;"3";tertiary;"50.0";"0.0082";"4154.0";"162.747";droite;;;;;;;;
"52";"421804917";"318524.5778";"5155291.019";"1749741179";"318507.9246";"5155323.647";"598562209";"318525.3946";"5155281.908";Rue de la Borde;False;"5";secondary;"50.0";"-0.034";Place du Tunnel;True;"4";secondary;"50.0";"-0.0312";"5741.0";"158.083";droite;;;;;;;;
"53";"421804917";"318524.5778";"5155291.019";"598562203";"318533.7835";"5155284.437";"598562209";"318525.3946";"5155281.908";Place du Tunnel;True;"2";secondary;"50.0";"0.0187";Place du Tunnel;True;"4";secondary;"50.0";"-0.0312";"5741.0";"310.687";gauche;;;;;;;;
"54";"421804917";"318524.5778";"5155291.019";"598562203";"318533.7835";"5155284.437";"1749741179";"318507.9246";"5155323.647";Place du Tunnel;True;"2";secondary;"50.0";"0.0187";Rue de la Borde;False;"5";secondary;"50.0";"0.034";"5741.0";"152.604";droite;;;;;;;;
"55";"421804913";"318773.0148";"5154623.588";"567927305";"318769.5608";"5154617.964";"5340591748";"318776.2049";"5154626.806";Rue Caroline;False;"4";secondary;"50.0";"0.0348";Rue Caroline;False;"4";secondary;"50.0";"0.0474";"8164.0";"166.806";tout_droit;;;;;;;;
"56";"421804913";"318773.0148";"5154623.588";"5340591748";"318776.2049";"5154626.806";"567927305";"318769.5608";"5154617.964";Rue Caroline;False;"4";secondary;"50.0";"-0.0474";Rue Caroline;False;"4";secondary;"50.0";"-0.0348";"8164.0";"193.194";tout_droit;;;;;;;;
"57";"420770599";"319435.6229";"5154069.828";"280671";"319490.1539";"5154063.587";"614925778";"319428.8426";"5154071.331";Avenue du LAman;True;"1";secondary;"50.0";"0.0421";Avenue du LAman;False;"1";secondary;"50.0";"0.0426";"5541.0";"174.03";tout_droit;;;;;;;;
"58";"420770599";"319435.6229";"5154069.828";"280671";"319490.1539";"5154063.587";"581105480";"319446.7474";"5154060.555";Avenue du LAman;True;"1";secondary;"50.0";"0.0421";Avenue du LAman;True;"1";secondary;"50.0";"-0.0426";"5541.0";"326.716";gauche;;;;;;;;
"59";"420770599";"319435.6229";"5154069.828";"614925778";"319428.8426";"5154071.331";"581105480";"319446.7474";"5154060.555";Avenue du LAman;False;"1";secondary;"50.0";"-0.0426";Avenue du LAman;True;"1";secondary;"50.0";"-0.0426";"1821.0";"152.685";droite;;;;;;;;
"60";"567168327";"316767.8361";"5154862.231";"387737586";"316748.5376";"5154819.153";"387737585";"316771.6642";"5154870.768";Chemin de la Colline;False;"1";residential;"50.0";"-0.0044";Chemin de la Colline;False;"1";residential;"50.0";"-0.0038";"4969.29";"179.98";tout_droit;;;;;;;;
"61";"567168327";"316767.8361";"5154862.231";"387737585";"316771.6642";"5154870.768";"387737586";"316748.5376";"5154819.153";Chemin de la Colline;False;"1";residential;"50.0";"0.0038";Chemin de la Colline;False;"1";residential;"50.0";"0.0044";"4969.29";"180.02";tout_droit;;;;;;;;
"62";"366332325";"317141.7475";"5155278.217";"563840118";"317178.9118";"5155275.303";"8508013293";"317083.8353";"5155282.936";Avenue de Morges;False;"3";secondary;"50.0";"-0.0409";Avenue de Morges;False;"3";secondary;"50.0";"-0.0377";"6345.5";"179.825";tout_droit;;;;;;;;
"63";"366332325";"317141.7475";"5155278.217";"8508013293";"317083.8353";"5155282.936";"563840118";"317178.9118";"5155275.303";Avenue de Morges;False;"3";secondary;"50.0";"0.0377";Avenue de Morges;False;"3";secondary;"50.0";"0.0409";"6345.5";"180.175";tout_droit;;;;;;;;
"64";"360429537";"318149.5596";"5154042.563";"564447988";"318167.4983";"5154035.785";"282029513";"318139.7419";"5154046.972";Boulevard de Grancy;False;"1";residential;"50.0";"-0.0033";Boulevard de Grancy;False;"1";residential;"50.0";"-0.0051";"1200.0";"176.514";tout_droit;;;;;;;;
"65";"360429537";"318149.5596";"5154042.563";"282029513";"318139.7419";"5154046.972";"564447988";"318167.4983";"5154035.785";Boulevard de Grancy;False;"1";residential;"50.0";"0.0051";Boulevard de Grancy;False;"1";residential;"50.0";"0.0033";"1200.0";"183.486";tout_droit;;;;;;;;
"66";"3090820935";"319472.0688";"5154691.8";"347549332";"319456.8688";"5154683.813";"565086121";"319477.4157";"5154694.766";Avenue de BAAthusy;False;"3";tertiary;"50.0";"0.0811";Avenue de BAAthusy;False;"3";tertiary;"50.0";"0.0445";"7230.0";"181.298";tout_droit;;;;;;;;
"67";"3090820935";"319472.0688";"5154691.8";"565086121";"319477.4157";"5154694.766";"347549332";"319456.8688";"5154683.813";Avenue de BAAthusy;False;"3";tertiary;"50.0";"-0.0445";Avenue de BAAthusy;False;"3";tertiary;"50.0";"-0.0811";"7230.0";"178.702";tout_droit;;;;;;;;
"68";"4212883643";"320087.4792";"5154928.871";"330910147";"320080.7001";"5154937.102";"4212883641";"320092.2398";"5154923.492";Avenue de Chailly;False;"2";tertiary;"50.0";"0.0004";Avenue de Chailly;False;"2";tertiary;"50.0";"-0.0003";"2635.0";"182.035";tout_droit;;;;;;;;
"69";"4212883643";"320087.4792";"5154928.871";"4212883641";"320092.2398";"5154923.492";"330910147";"320080.7001";"5154937.102";Avenue de Chailly;False;"2";tertiary;"50.0";"0.0003";Avenue de Chailly;False;"2";tertiary;"50.0";"-0.0004";"2635.0";"177.965";tout_droit;;;;;;;;
"70";"3111734118";"318254.2828";"5154599.271";"330630228";"318248.3496";"5154600.584";"8050095193";"318273.6782";"5154594.529";Place de l'Europe;False;"2";primary;"50.0";"0.015";Place de l'Europe;False;"2";primary;"50.0";"0.0074";"6652.0";"178.74";tout_droit;;;;;;;;
"71";"3111734118";"318254.2828";"5154599.271";"8050095193";"318273.6782";"5154594.529";"330630228";"318248.3496";"5154600.584";Place de l'Europe;False;"2";primary;"50.0";"-0.0074";Place de l'Europe;False;"2";primary;"50.0";"-0.015";"6652.0";"181.26";tout_droit;;;;;;;;
"72";"330630228";"318248.3496";"5154600.584";"3111734119";"318239.3128";"5154602.846";"3111734118";"318254.2828";"5154599.271";Place de l'Europe;False;"2";primary;"50.0";"0.0035";Place de l'Europe;False;"2";primary;"50.0";"0.015";"6652.0";"181.575";tout_droit;;;;;;;;
"73";"330630228";"318248.3496";"5154600.584";"3111734118";"318254.2828";"5154599.271";"3111734119";"318239.3128";"5154602.846";Place de l'Europe;False;"2";primary;"50.0";"-0.015";Place de l'Europe;False;"2";primary;"50.0";"-0.0035";"6652.0";"178.425";tout_droit;;;;;;;;
"74";"314082027";"317495.0797";"5154096.577";"597674075";"317482.6303";"5154079.637";"35295097";"317503.227";"5154101.714";Avenue de Milan;False;"1";tertiary;"50.0";"0.0285";Avenue de Milan;False;"1";tertiary;"50.0";"0.0237";"0.0";"158.545";droite;;;;;;;;
"75";"314082027";"317495.0797";"5154096.577";"35295097";"317503.227";"5154101.714";"597674075";"317482.6303";"5154079.637";Avenue de Milan;False;"1";tertiary;"50.0";"-0.0237";Avenue de Milan;False;"1";tertiary;"50.0";"-0.0285";"0.0";"201.455";gauche;;;;;;;;
"76";"583529286";"316980.4588";"5155680.581";"313713694";"316985.2566";"5155675.521";"5527674481";"316977.9699";"5155683.815";Route de Prilly;False;"3";primary;"50.0";"-0.0212";Route de Prilly;False;"3";primary;"50.0";"-0.0278";"3167.0";"174.106";tout_droit;;;;;;;;
"77";"583529286";"316980.4588";"5155680.581";"5527674481";"316977.9699";"5155683.815";"313713694";"316985.2566";"5155675.521";Route de Prilly;False;"3";primary;"50.0";"0.0278";Route de Prilly;False;"3";primary;"50.0";"0.0212";"3167.0";"185.894";tout_droit;;;;;;;;
"78";"564464258";"317905.1054";"5153107.385";"564464259";"317910.8609";"5153105.989";"300036369";"317899.3726";"5153109.793";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0007";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.001";"7332.0";"170.85";tout_droit;;;;;;;;
"79";"564464258";"317905.1054";"5153107.385";"300036369";"317899.3726";"5153109.793";"564464259";"317910.8609";"5153105.989";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.001";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0007";"7332.0";"189.15";tout_droit;;;;;;;;
"80";"3802191742";"317897.7039";"5153110.989";"5325765155";"317894.3624";"5153113.502";"300036369";"317899.3726";"5153109.793";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0115";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.018";"7332.0";"181.315";tout_droit;;;;;;;;
"81";"3802191742";"317897.7039";"5153110.989";"300036369";"317899.3726";"5153109.793";"5325765155";"317894.3624";"5153113.502";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.018";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0115";"7332.0";"178.685";tout_droit;;;;;;;;
"82";"8790251871";"318681.6396";"5156076.995";"571224233";"318681.6743";"5156068.42";"290660176";"318681.2181";"5156194.559";Route du Pavement;False;"1";residential;"50.0";"0.0526";Route du Pavement;False;"1";residential;"50.0";"0.0511";"756.0";"179.974";tout_droit;;;;;;;;
"83";"8790251871";"318681.6396";"5156076.995";"290660176";"318681.2181";"5156194.559";"571224233";"318681.6743";"5156068.42";Route du Pavement;False;"1";residential;"50.0";"-0.0511";Route du Pavement;False;"1";residential;"50.0";"-0.0526";"756.0";"180.026";tout_droit;;;;;;;;
"84";"288295779";"319812.4388";"5155185.954";"6095491313";"319802.6811";"5155173.789";"617681912";"319815.2986";"5155189.194";Avenue de BAAthusy;False;"2";tertiary;"50.0";"-0.0122";Avenue de BAAthusy;False;"2";tertiary;"50.0";"-0.0089";"5499.0";"177.3";tout_droit;;;;;;;;
"85";"288295779";"319812.4388";"5155185.954";"617681912";"319815.2986";"5155189.194";"6095491313";"319802.6811";"5155173.789";Avenue de BAAthusy;False;"2";tertiary;"50.0";"0.0089";Avenue de BAAthusy;False;"2";tertiary;"50.0";"0.0122";"5499.0";"182.7";tout_droit;;;;;;;;
"86";"580022322";"317461.8301";"5154043.43";"597674075";"317482.6303";"5154079.637";"282654081";"317458.7795";"5154038.251";Avenue de Milan;False;"1";tertiary;"50.0";"-0.0188";Avenue de Milan;False;"1";tertiary;"50.0";"-0.0239";"0.0";"179.377";tout_droit;;;;;;;;
"87";"580022322";"317461.8301";"5154043.43";"282654081";"317458.7795";"5154038.251";"597674075";"317482.6303";"5154079.637";Avenue de Milan;False;"1";tertiary;"50.0";"0.0239";Avenue de Milan;False;"1";tertiary;"50.0";"0.0188";"0.0";"180.623";tout_droit;;;;;;;;
"88";"282645324";"316840.9703";"5154350.181";"282645307";"316826.7824";"5154315.922";"592213024";"316844.338";"5154358.72";Chemin de Pierreval;False;"1";residential;"30.0";"0.0422";Chemin de Pierreval;False;"1";residential;"20.0";"0.0549";"711.0";"180.972";tout_droit;;;;;;;;
"89";"282645324";"316840.9703";"5154350.181";"592213024";"316844.338";"5154358.72";"282645307";"316826.7824";"5154315.922";Chemin de Pierreval;False;"1";residential;"20.0";"-0.0549";Chemin de Pierreval;False;"1";residential;"30.0";"-0.0422";"711.0";"179.028";tout_droit;;;;;;;;
"90";"564116177";"317840.3771";"5154993.451";"5337071477";"317842.2351";"5154998.055";"277945188";"317837.8264";"5154984.964";Avenue de Beaulieu;False;"3";secondary;"50.0";"-0.0534";Avenue de Beaulieu;False;"3";secondary;"50.0";"-0.0616";"6324.0";"185.249";tout_droit;;;;;;;;
"91";"564116177";"317840.3771";"5154993.451";"277945188";"317837.8264";"5154984.964";"5337071477";"317842.2351";"5154998.055";Avenue de Beaulieu;False;"3";secondary;"50.0";"0.0616";Avenue de Beaulieu;False;"3";secondary;"50.0";"0.0534";"6324.0";"174.751";tout_droit;;;;;;;;
"92";"564204221";"317381.5651";"5153382.999";"274635995";"317373.1041";"5153390.405";"667975714";"317389.0744";"5153376.623";Chemin des PAAacheurs;False;"1";service;;"-0.0035";Chemin des PAAacheurs;False;"1";service;;"-0.0017";"0.0";"180.862";tout_droit;;;;;;;;
"93";"564204221";"317381.5651";"5153382.999";"667975714";"317389.0744";"5153376.623";"274635995";"317373.1041";"5153390.405";Chemin des PAAacheurs;False;"1";service;;"0.0017";Chemin des PAAacheurs;False;"1";service;;"0.0035";"0.0";"179.138";tout_droit;;;;;;;;
"94";"274635873";"316118.982";"5154410.66";"274635943";"316132.7586";"5154420.885";"274635871";"316102.7759";"5154397.295";Route de Chavannes;False;"1";service;;"0.0334";Route de Chavannes;False;"1";service;;"-0.0449";"0.0";"182.929";tout_droit;;;;;;;;
